127.0.0.1 - [31/Aug/2018:08:27:29 +0300] "GET /oemanager/applications HTTP/1.1" 401 84 4 thd-1 167BD04D75B021481E2F397F65FC6662B83D28DF5138.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports HTTP/1.1" 302 - 0 thd-10 -
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/ HTTP/1.1" 302 - 28 thd-1 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/login.html HTTP/1.1" 200 1248 2 thd-6 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/vendor/kendo/styles/kendo.bootstrap.min.css HTTP/1.1" 200 12324 5 thd-9 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 17 thd-3 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 14 thd-4 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 8 thd-9 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 5 thd-4 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 9 thd-3 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 5 thd-7 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 4 thd-9 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/assets/css/font.css HTTP/1.1" 304 - 14 thd-1 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 12 thd-6 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 17 thd-10 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:54 +0300] "GET /sports/static/assets/css/override.css HTTP/1.1" 304 - 14 thd-2 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
