127.0.0.1 - [03/Sep/2018:14:24:52 +0300] "GET /oemanager/ HTTP/1.1" 401 84 74 thd-2 -
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/web/pdo/ordering/errors HTTP/1.1" 302 - 33 thd-10 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/login.html HTTP/1.1" 200 1248 6 thd-6 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/vendor/kendo/styles/kendo.bootstrap.min.css HTTP/1.1" 200 12324 8 thd-3 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 34 thd-5 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 5 thd-8 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 36 thd-1 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 23 thd-9 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 29 thd-3 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 28 thd-4 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 5 thd-10 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 13 thd-2 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:20 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 4 thd-5 E74652E088D7ABDD01216782905B4C165B71FBFE3409.SportsDemo
