127.0.0.1 - [04/Sep/2018:08:40:12 +0300] "GET /oemanager/applications HTTP/1.1" 401 84 4 thd-4 AA7AABF8A3CDCABC4CDF68E5EF53248549C0D7553DCB.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/web/pdo//ordering/errors HTTP/1.1" 302 - 2 thd-3 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/login.html HTTP/1.1" 200 1248 2 thd-9 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 4 thd-7 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 9 thd-4 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/kendo/styles/kendo.bootstrap.min.css HTTP/1.1" 200 12324 28 thd-8 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 7 thd-8 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 39 thd-6 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 38 thd-2 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 4 thd-9 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 11 thd-1 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 39 thd-10 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 11 thd-3 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/assets/css/font.css HTTP/1.1" 304 - 2 thd-5 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/assets/img/logo.png HTTP/1.1" 200 54380 3 thd-6 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/psc/lib/progress.all.min.js HTTP/1.1" 200 271795 9 thd-4 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/assets/css/override.css HTTP/1.1" 304 - 10 thd-8 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
192.168.20.56 - [04/Sep/2018:08:51:09 +0300] "GET /sports/static/vendor/spark/lib/spark.min.js HTTP/1.1" 200 27121 3 thd-7 4444BBBB2D0D72CDCEB59027C756CB53995D6E048392.SportsDemo
