127.0.0.1 - [06/Sep/2018:08:29:37 +0300] "GET /oemanager/applications HTTP/1.1" 401 84 6 thd-4 4E5039AF4B18266ADD7D1EF6DAB437624BBB8B951DA1.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/app.html HTTP/1.1" 302 - 12 thd-1 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/login.html HTTP/1.1" 200 1248 5 thd-8 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/kendo/styles/kendo.bootstrap.min.css HTTP/1.1" 200 12324 7 thd-2 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 24 thd-6 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 23 thd-9 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 14 thd-5 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/assets/css/font.css HTTP/1.1" 200 375 6 thd-7 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 16 thd-6 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 7 thd-10 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 19 thd-3 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 14 thd-1 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 4 thd-9 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 8 thd-2 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/assets/css/override.css HTTP/1.1" 200 1471 25 thd-8 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/psc/lib/progress.all.min.js HTTP/1.1" 200 271795 12 thd-5 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/assets/img/logo.png HTTP/1.1" 200 54380 5 thd-7 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/spark/lib/spark.min.js HTTP/1.1" 200 27121 3 thd-6 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/vendor/spark/lib/plugins.js HTTP/1.1" 304 - 3 thd-10 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/app/notify.js HTTP/1.1" 304 - 1 thd-3 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:44 +0300] "GET /sports/static/app/login.js HTTP/1.1" 200 12821 2 thd-1 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:45 +0300] "GET /sports/static/vendor/kendo/js/kendo.all.min.js HTTP/1.1" 200 3112566 627 thd-4 6E78C2D1D44395B8FFC49D2B7F209116EA8BE3AC6A73.SportsDemo
