127.0.0.1 - [07/Sep/2018:08:29:46 +0300] "GET /oemanager/applications HTTP/1.1" 401 84 8 thd-4 7DA33BB1F14CB5841E0D24EAC08191475DBD822A33C4.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/app.html HTTP/1.1" 302 - 16 thd-8 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/login.html HTTP/1.1" 304 - 3 thd-4 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 25 thd-9 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 33 thd-6 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/vendor/kendo/styles/kendo.bootstrap.min.css HTTP/1.1" 200 12324 24 thd-5 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 10 thd-1 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 6 thd-6 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 17 thd-9 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/assets/css/font.css HTTP/1.1" 304 - 4 thd-3 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 2 thd-2 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/assets/css/override.css HTTP/1.1" 304 - 4 thd-4 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 3 thd-2 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 11 thd-8 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:31 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 3 thd-10 05804A9D9E5D6E9D89ABDFFD72AAC31BB251BDFEEA90.SportsDemo
